127.0.0.1 - - [03/Apr/2017:15:57:49 +0300] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:17 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:17 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:17 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:22 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:22 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:22 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:27 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:27 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:27 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:32 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:32 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:33 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:37 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:37 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:37 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:42 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:42 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:42 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:47 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:47 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:47 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:52 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:52 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:52 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:57 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:57 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:00:57 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:02 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:02 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:02 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:07 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:07 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:08 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:12 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:12 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:12 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:17 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:17 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:17 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:22 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:22 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:22 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:27 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:27 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:27 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:32 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:32 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:32 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:37 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:37 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:37 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:42 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:42 +0300] "GET /Test2/CompletnessController?option=2 HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:42 +0300] "GET /Test2/CompletnessController?option=3 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [03/Apr/2017:16:01:47 +0300] "GET /Test2/CompletnessController?option=1 HTTP/1.1" 200 171
